Sample ID,Survey,SurveyID,Site,SiteID,DRM,Diel,DielID,Depth,Depth2,Plankton,Eggs,Larvae,Yolk_sac,Feeding,Pre_flexion,Flexion,Post_flexion,Temp,Sal,DO,Turb,Naupli,Copepodite,Copepods,Crab_nauplii,Bivalve,Gastropod,Fish_egg,Other
L125,September,1,8502,1,9,Day,0,0,0,0,0,0,0,0,0,0,0,17.44,1.07,8.7,6,,,,,,,,
L126,September,1,8502,1,9,Day,0,1,-1,0,0,0,0,0,0,0,0,17.66,1.05,8.56,6,,,,,,,,
L127,September,1,8502,1,9,Day,0,2,-2,0,0,0,0,0,0,0,0,16.34,1.62,8.76,8,,,,,,,,
L128,September,1,8502,1,9,Day,0,3,-3,0,0,0,0,0,0,0,0,15.44,1.82,8.62,10.5,,,,,,,,
L129,September,1,8503,2,12,Day,0,0,0,0,0,0,0,0,0,0,0,15.91,1.81,8.61,7.5,,,,,,,,
L130,September,1,8503,2,12,Day,0,1,-1,0,0,0,0,0,0,0,0,15.9,1.81,8.49,7.8,,,,,,,,
L131,September,1,8503,2,12,Day,0,2,-2,0,0,0,0,0,0,0,0,15.8,1.81,8.46,7.9,,,,,,,,
L132,September,1,8503,2,12,Day,0,3,-3,0,0,0,0,0,0,0,0,15.67,1.82,8.39,8,,,,,,,,
L133,September,1,8503,2,12,Day,0,4,-4,0,0,0,0,0,0,0,0,15.36,1.9,8.28,8.6,,,,,,,,
L134,September,1,8506,5,21,Night,1,0,0,0,0,0,0,0,0,0,0,15.36,1.77,8.73,6.1,,,,,,,,
L135,September,1,8506,5,21,Night,1,1,-1,0,0,0,0,0,0,0,0,15.38,1.77,8.65,7.8,,,,,,,,
L136,September,1,8506,5,21,Night,1,2,-2,0,0,0,0,0,0,0,0,15.38,1.77,8.45,9,,,,,,,,
L137,September,1,8505,4,18,Night,1,0,0,0,0,0,0,0,0,0,0,15.37,1.79,8.41,5.6,,,,,,,,
L138,September,1,8505,4,18,Night,1,1,-1,0,0,0,0,0,0,0,0,15.39,1.79,8.33,8,,,,,,,,
L139,September,1,8505,4,18,Night,1,2,-2,0,0,0,0,0,0,0,0,15.39,1.79,8.31,8.8,,,,,,,,
L140,September,1,8505,4,18,Night,1,3,-3,0,0,0,0,0,0,0,0,15.39,1.79,8.31,8.6,,,,,,,,
L141,September,1,8504,3,15,Night,1,0,0,0,0,0,0,0,0,0,0,15.48,1.81,8.29,6.5,,,,,,,,
L142,September,1,8504,3,15,Night,1,1,-1,0,0,0,0,0,0,0,0,15.49,1.81,8.34,7.7,,,,,,,,
L143,September,1,8504,3,15,Night,1,2,-2,0,0,0,0,0,0,0,0,15.49,1.8,8.33,7.8,,,,,,,,
L144,September,1,8504,3,15,Night,1,3,-3,0,0,0,0,0,0,0,0,15.48,1.81,8.29,8.2,,,,,,,,
L145,September,1,8503,2,12,Night,1,0,0,0,0,0,0,0,0,0,0,15.6,1.47,8.27,3.6,,,,,,,,
L146,September,1,8503,2,12,Night,1,1,-1,0,0,0,0,0,0,0,0,15.61,1.57,8.28,4.8,,,,,,,,
L147,September,1,8503,2,12,Night,1,2,-2,0,0,0,0,0,0,0,0,15.55,1.78,8.3,6.1,,,,,,,,
L148,September,1,8503,2,12,Night,1,3,-3,0,0,0,0,0,0,0,0,15.56,1.81,8.2,7.2,,,,,,,,
L149,September,1,8503,2,12,Night,1,4,-4,0,0,0,0,0,0,0,0,15.57,1.83,8.17,7.6,,,,,,,,
L150,September,1,8502,1,9,Night,1,0,0,0,0,0,0,0,0,0,0,15.74,1.52,8.51,4.1,,,,,,,,
L151,September,1,8502,1,9,Night,1,1,-1,0,0,0,0,0,0,0,0,15.77,1.65,8.46,5.7,,,,,,,,
L152,September,1,8502,1,9,Night,1,2,-2,0,0,0,0,0,0,0,0,15.8,1.75,8.36,5.8,,,,,,,,
L153,September,1,8502,1,9,Night,1,3,-3,0,0,0,0,0,0,0,0,15.58,1.9,8.25,6.6,,,,,,,,
L154,September,1,8507,6,24,Day,0,0,0,0,0,0,0,0,0,0,0,15.22,1.97,8.83,5.5,,,,,,,,
L155,September,1,8507,6,24,Day,0,1,-1,0,0,0,0,0,0,0,0,15.22,1.97,8.79,7.2,,,,,,,,
L156,September,1,8508,7,27,Day,0,0,0,0,0,0,0,0,0,0,0,15.37,1.85,8.74,4.5,,,,,,,,
L157,September,1,8508,7,27,Day,0,1,-1,0,0,0,0,0,0,0,0,15.36,2.06,8.59,6.3,,,,,,,,
L158,September,1,8508,7,27,Day,0,2,-2,0,0,0,0,0,0,0,0,15.23,2.08,8.63,7.9,,,,,,,,
L159,September,1,8509,8,30,Day,0,0,0,0,0,0,0,0,0,0,0,15.25,2.19,8.84,6.3,,,,,,,,
L160,September,1,8509,8,30,Day,0,1,-1,0,0,0,0,0,0,0,0,15.2,2.19,8.76,7,,,,,,,,
L161,September,1,8509,8,30,Day,0,2,-2,0,0,0,0,0,0,0,0,15.17,2.19,8.65,7.3,,,,,,,,
L162,September,1,8509,8,30,Day,0,3,-3,0,0,0,0,0,0,0,0,15.16,2.19,8.63,7.4,,,,,,,,
L163,September,1,8510,9,33,Day,0,0,0,0,0,0,0,0,0,0,0,15.09,2.26,8.86,8,,,,,,,,
L164,September,1,8510,9,33,Day,0,1,-1,0,0,0,0,0,0,0,0,15.09,2.26,8.79,8.6,,,,,,,,
L165,September,1,8510,9,33,Day,0,2,-2,0,0,0,0,0,0,0,0,15.08,2.26,8.71,8.4,,,,,,,,
L166,September,1,8510,9,33,Night,1,0,0,0,0,0,0,0,0,0,0,15.08,2.29,8.99,3.2,,,,,,,,
L167,September,1,8510,9,33,Night,1,1,-1,0,0,0,0,0,0,0,0,15.08,2.29,8.9,5,,,,,,,,
L168,September,1,8510,9,33,Night,1,2,-2,0,0,0,0,0,0,0,0,15.07,2.29,8.76,6.5,,,,,,,,
L169,September,1,8509,8,30,Night,1,0,0,0,0,0,0,0,0,0,0,15.03,2.25,8.73,1.5,,,,,,,,
L170,September,1,8509,8,30,Night,1,1,-1,0,0,0,0,0,0,0,0,15.05,2.25,8.56,5.9,,,,,,,,
L171,September,1,8509,8,30,Night,1,2,-2,0,0,0,0,0,0,0,0,15.05,2.25,8.62,7.7,,,,,,,,
L172,September,1,8509,8,30,Night,1,3,-3,0,0,0,0,0,0,0,0,15.05,2.25,8.43,9.2,,,,,,,,
L173,September,1,8508,7,27,Night,1,0,0,0,0,0,0,0,0,0,0,15.13,2.11,8.84,1.7,,,,,,,,
L174,September,1,8508,7,27,Night,1,1,-1,0,0,0,0,0,0,0,0,15.15,2.17,8.51,6.1,,,,,,,,
L175,September,1,8508,7,27,Night,1,2,-2,0,0,0,0,0,0,0,0,15.16,2.19,8.46,7.6,,,,,,,,
L176,September,1,8507,6,24,Night,1,0,0,0,0,0,0,0,0,0,0,15.25,2.09,8.62,2.3,,,,,,,,
L177,September,1,8507,6,24,Night,1,1,-1,0,0,0,0,0,0,0,0,15.25,2.09,8.55,4.7,,,,,,,,
L178,September,1,8506,5,21,Day,0,0,0,0,0,0,0,0,0,0,0,15.61,2.12,8.66,0.2,,,,,,,,
L179,September,1,8506,5,21,Day,0,1,-1,0,0,0,0,0,0,0,0,15.07,2.12,8.58,5.5,,,,,,,,
L180,September,1,8506,5,21,Day,0,2,-2,0,0,0,0,0,0,0,0,14.98,2.13,8.54,6.1,,,,,,,,
L181,September,1,8505,4,18,Day,0,0,0,0,0,0,0,0,0,0,0,15.77,2.05,8.64,0.9,,,,,,,,
L182,September,1,8505,4,18,Day,0,1,-1,0,0,0,0,0,0,0,0,15.22,2.06,8.45,5,,,,,,,,
L183,September,1,8505,4,18,Day,0,2,-2,4,0,0,0,0,0,0,0,15.13,2.06,8.45,6,,,,,,,,
L184,September,1,8504,3,15,Day,0,0,0,4,0,0,0,0,0,0,0,15.37,1.92,8.84,0,,,,,,,,
L185,September,1,8504,3,15,Day,0,1,-1,4,0,0,0,0,0,0,0,15.36,1.92,8.59,3.3,,,,,,,,
L186,September,1,8504,3,15,Day,0,2,-2,5,0,0,0,0,0,0,0,15.37,1.92,8.42,6.5,,,,,,,,
L187,September,1,8504,3,15,Day,0,3,-3,4,0,0,0,0,0,0,0,15.27,1.93,8.44,6.7,,,,,,,,
L1811,October,2,8511,10,36,Day,0,0,0,0,0,0,0,0,0,0,0,19.19,2,8.41,2.2,,,,,,,,
L1821,October,2,8511,10,36,Day,0,1,-1,4,0,0,0,0,0,0,0,18.99,2.01,8.39,1.8,,,,,,,,
L1831,October,2,8511,10,36,Day,0,2,-2,4,0,0,0,0,0,0,0,19.03,2,8.34,2.1,,,,,,,,
L1841,October,2,8511,10,36,Day,0,3,-3,4,0,0,0,0,0,0,0,18.94,2.01,8.57,2.3,,,,,,,,
L1851,October,2,8510,9,33,Day,0,0,0,5,0,0,0,0,0,0,0,20.19,1.99,10.62,3.3,,,,,,,,
L1861,October,2,8510,9,33,Day,0,1,-1,4,0,0,0,0,0,0,0,18.61,2,8.42,5,,,,,,,,
L1871,October,2,8510,9,33,Day,0,2,-2,4,0,0,0,0,0,0,0,18.55,2,8.36,2.5,,,,,,,,
L188,October,2,8509,8,30,Day,0,0,0,2,0,0,0,0,0,0,0,20.61,2.04,10,0,,,,,,,,
L189,October,2,8509,8,30,Day,0,1,-1,2,0,0,0,0,0,0,0,18.61,2.03,8.27,3.1,,,,,,,,
L190,October,2,8509,8,30,Day,0,2,-2,3,0,0,0,0,0,0,0,18.48,2.04,8.26,3.1,,,,,,,,
L191,October,2,8509,8,30,Day,0,3,-3,4,0,0,0,0,0,0,0,18.47,2.04,8.23,3.6,,,,,,,,
L192,October,2,8508,7,27,Day,0,0,0,3,0,0,0,0,0,0,0,20.77,1.47,8.31,0.1,,,,,,,,
L193,October,2,8508,7,27,Day,0,1,-1,3,0,0,0,0,0,0,0,19.92,1.88,8.2,3.5,,,,,,,,
L194,October,2,8508,7,27,Day,0,2,-2,3,0,0,0,0,0,0,0,19.21,2.11,8.22,3.5,,,,,,,,
L195,October,2,8507,6,24,Day,0,0,0,1,0,0,0,0,0,0,0,20.7,2.15,9.08,0,,,,,,,,
L196,October,2,8507,6,24,Day,0,1,-1,2,0,0,0,0,0,0,0,20.21,2.14,8.25,1.4,,,,,,,,
L197,October,2,8507,6,24,Day,0,2,-2,2,0,0,0,0,0,0,0,19.04,2.18,8.16,4.7,,,,,,,,
L198,October,2,8511,10,36,Night,1,0,0,4,0,0,0,0,0,0,0,18.92,2.03,8.55,0,,,,,,,,
L199,October,2,8511,10,36,Night,1,1,-1,4,0,0,0,0,0,0,0,18.93,2.03,8.14,2.9,,,,,,,,
L200,October,2,8511,10,36,Night,1,2,-2,5,0,0,0,0,0,0,0,18.93,2.03,8.12,3.8,,,,,,,,
L201,October,2,8510,9,33,Night,1,0,0,15,0,0,0,0,0,0,0,19.09,1.97,9.05,0,,,,,,,,
L202,October,2,8510,9,33,Night,1,1,-1,10,0,0,0,0,0,0,0,19.01,1.98,7.91,4.8,,,,,,,,
L203,October,2,8510,9,33,Night,1,2,-2,5,0,0,0,0,0,0,0,18.89,1.97,7.88,5.5,,,,,,,,
L204,October,2,8509,8,30,Night,1,0,0,7,0,0,0,0,0,0,0,19.69,2.02,10.21,0,,,,,,,,
L205,October,2,8509,8,30,Night,1,1,-1,10,0,0,0,0,0,0,0,19.56,2.01,8.49,4.8,,,,,,,,
L206,October,2,8509,8,30,Night,1,2,-2,10,0,0,0,0,0,0,0,18.74,2.01,7.8,5.4,,,,,,,,
L207,October,2,8509,8,30,Night,1,3,-3,6,0,0,0,0,0,0,0,18.49,2.02,7.67,5.7,,,,,,,,
L208,October,2,8508,7,27,Night,1,0,0,5,0,0,0,0,0,0,0,19.81,1.51,9.01,0.1,,,,,,,,
L209,October,2,8508,7,27,Night,1,1,-1,3,0,0,0,0,0,0,0,19.49,1.94,7.96,4.5,,,,,,,,
L210,October,2,8508,7,27,Night,1,2,-2,4,0,0,0,0,0,0,0,18.8,2.11,7.91,5.3,,,,,,,,
L211,October,2,8507,6,24,Night,1,0,0,4,0,0,0,0,0,0,0,19.39,2.14,8.31,0,,,,,,,,
L212,October,2,8507,6,24,Night,1,1,-1,3,0,0,0,0,0,0,0,19.39,2.14,7.77,4.4,,,,,,,,
L213,October,2,8507,6,24,Night,1,2,-2,3,0,0,0,0,0,0,0,19.04,2.15,7.86,5,,,,,,,,
L214,October,2,8502,1,9,Day,0,0,0,3,0,0,0,0,0,0,0,20.13,2.19,9.53,1.8,,,,,,,,
L215,October,2,8502,1,9,Day,0,1,-1,7,0,0,0,0,0,0,0,20.04,2.19,9.38,3.2,,,,,,,,
L216,October,2,8502,1,9,Day,0,2,-2,15,0,0,0,0,0,0,0,19.15,9.04,8.33,3.8,,,,,,,,
L217,October,2,8502,1,9,Day,0,3,-3,13,0.56,0,0,0,0,0,0,19.19,16.41,5.2,1.7,,,,,,,,
L218,October,2,8503,2,12,Day,0,0,0,3,0,0,0,0,0,0,0,20,2.24,9.98,1.4,,,,,,,,
L219,October,2,8503,2,12,Day,0,1,-1,2,0,0,0,0,0,0,0,20,2.24,9.46,5.4,,,,,,,,
L220,October,2,8503,2,12,Day,0,2,-2,3,0,0.02,0.02,0,0,0,0,19.94,2.25,9.52,5.4,,,,,,,,
L221,October,2,8503,2,12,Day,0,3,-3,3,0.5,0,0,0,0,0,0,18.4,16.86,4.33,0.5,,,,,,,,
L222,October,2,8503,2,12,Day,0,4,-4,3,3,0,0,0,0,0,0,18.52,21.32,2.76,0,,,,,,,,
L223,October,2,8504,3,15,Day,0,0,0,4,0,0,0,0,0,0,0,20.03,2.14,9.55,3.2,,,,,,,,
L224,October,2,8504,3,15,Day,0,1,-1,4,0,0,0,0,0,0,0,20,2.14,9.07,5.2,,,,,,,,
L225,October,2,8504,3,15,Day,0,2,-2,5,0,0,0,0,0,0,0,19.66,2.17,8.95,5.8,,,,,,,,
L226,October,2,8504,3,15,Day,0,3,-3,4,2.09,0,0,0,0,0,0,18.65,11.44,3.63,0.7,,,,,,,,
L227,October,2,8504,3,15,Day,0,4,-4,5,6.39,0,0,0,0,0,0,18.19,20.09,1.42,0,,,,,,,,
L228,October,2,8505,4,18,Day,0,0,0,2,0,0,0,0,0,0,0,19.66,2.14,9.49,0,,,,,,,,
L229,October,2,8505,4,18,Day,0,1,-1,2,0,0,0,0,0,0,0,19.64,2.14,8.64,4.1,,,,,,,,
L230,October,2,8505,4,18,Day,0,2,-2,3,0,0,0,0,0,0,0,19.27,2.15,8.55,5.7,,,,,,,,
